N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
328,Tous les 4 à 6 mois,Internet;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Jamais,Parfois,Parfois,6,Assez,1,1,1,1,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",9,8,Par conseil d’amis/famille,60,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Retraitée,10,10,10,5,10,,UZUE-9STW,02/11/2025 08:34:41,02/11/2025 08:47:38,,"776,536429",direct,FR,Smartphone,Terminé,,
329,Tous les 4 à 6 mois,Internet,1 à 5 ans,Je les donne;Je les jette;Je les recycle,Certains vêtements restent parfois inutilisés,7,Rarement,Jamais,Rarement,8,Assez,5,5,,4,Pantalon cargo;Samba,Non,Oui,3,1,Abordables;Facilité d’achat;Mode actuelle,14,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,10,3,8,10,,G82X-HT96,02/11/2025 09:48:31,02/11/2025 09:54:24,,"352,456778",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
330,Tous les 4 à 6 mois,Internet,Plus de 5 ans,Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,4,Rarement,Jamais,Jamais,6,Assez,6,1,,2,Pantalon cargo;Tote bag,Oui,Oui,3,4,Beaucoup d’options;Abordables;Facilité d’achat,34,Une femme,Je ne sais pas,Ouvrier / Ouvrière,,10,8,4,4,8,,WVET-H5GL,02/11/2025 10:01:20,02/11/2025 10:04:14,,"173,727815",direct,FR,Smartphone,Terminé,,
331,Tous les 2 à 3 mois,Internet,6 mois à 1 an,Je les jette,Certains vêtements restent parfois inutilisés,10,Souvent,Souvent,Souvent,9,Beaucoup,8,1,7,8,Pantalon cargo,Oui,Oui,6,3,Beaucoup d’options;Abordables;Mode actuelle,22,Une femme,C'est un moyen de se conformer aux attentes sociales,Chef d'entreprise / PDG,,10,6,4,10,6,,ELFM-UV8X,02/11/2025 10:08:06,02/11/2025 10:12:02,,"235,676493",direct,FR,Smartphone,Terminé,,
332,Tous les 2 à 3 mois,Magasin physique;Internet;Marché local,Plus de 5 ans,Je les recycle,Je porte presque toujours mes achats,7,Rarement,Parfois,Rarement,8,Assez,1,1,1,4,Aucun,Oui,"Non, mais je connais ces plateformes",8,4,Abordables,56,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Employée,10,8,5,8,10,,UEAS-ZW8N,02/11/2025 10:05:00,02/11/2025 10:12:05,,"425,630997",direct,FR,Smartphone,Terminé,,
333,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,6,Parfois,Rarement,Parfois,6,Pas du tout,1,1,1,2,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",2,4,Par conseil d’amis/famille,49,Une femme,C'est un moyen de se conformer aux attentes sociales,Ouvrier / Ouvrière,,8,7,2,6,5,,A2N5-ZXZ6,02/11/2025 09:46:49,02/11/2025 10:13:45,,"1615,87849",direct,FR,Smartphone,Terminé,,
334,Au moins une fois par semaine,Internet,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,3,Rarement,Parfois,Jamais,7,Assez,2,1,1,1,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",8,7,Abordables,45,Une femme,C'est un outil d'expression personnelle,Cadre,,6,6,1,1,8,,7SS3-RK6F,02/11/2025 10:18:01,02/11/2025 10:20:42,,"161,404086",direct,FR,Smartphone,Terminé,,
335,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,7,Rarement,Parfois,Rarement,10,Assez,8,5,7,1,Sonny Angel;Balletcore flats,Oui,"Non, mais je connais ces plateformes",8,7,Abordables;Facilité d’achat;Renouvellement des collections,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,5,5,10,,4SYE-VRMY,02/11/2025 10:18:47,02/11/2025 10:23:03,,"255,795097",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
336,Au moins une fois par mois,Internet;Friperie / Seconde main,1 à 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Jamais,Jamais,Jamais,10,Pas du tout,3,1,,8,Pantalon cargo;Balletcore flats,Oui,Oui,10,9,Abordables;Par conseil d’amis/famille,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,9,1,5,7,,UWTH-728P,02/11/2025 10:30:42,02/11/2025 10:34:44,,"242,65836",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
337,Tous les 4 à 6 mois,Internet,Plus de 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,6,Jamais,Jamais,Jamais,7,Assez,1,1,,1,Aucun,Oui,"Non, mais je connais ces plateformes",8,10,Abordables,37,Une femme,C'est un outil d'expression personnelle,Autre,Salarié,10,9,1,1,8,,7YGU-ZK78,02/11/2025 10:37:58,02/11/2025 10:43:09,,"310,412978",direct,FR,Smartphone,Terminé,,
338,Au moins une fois par mois,Magasin physique,Plus de 5 ans,Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Rarement,Rarement,Parfois,8,Assez,7,1,1,1,Aucun,Non,Oui,6,6,Mode actuelle,31,Une femme,C'est un outil d'expression personnelle,Autre,Agent de maîtrise,8,8,5,8,8,,YGSZ-DPNU,02/11/2025 11:04:38,02/11/2025 11:07:52,,"193,972666",direct,FR,Smartphone,Terminé,,
339,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les recycle,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Parfois,9,Beaucoup,10,1,3,6,Campus;Sonny Angel;Samba,Oui,Oui,3,5,Facilité d’achat;Mode actuelle,15,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,5,6,6,5,7,,N32C-HMUK,02/11/2025 11:24:27,02/11/2025 11:30:54,,"386,933798",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
340,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Jamais,10,Beaucoup,4,2,3,3,Aucun,Non,Oui,3,8,Abordables,30,Une femme,C'est un moyen de se conformer aux attentes sociales,Cadre,,10,7,3,6,10,,DR88-7TDW,02/11/2025 10:57:44,02/11/2025 11:32:25,,"2080,5432",direct,FR,Smartphone,Terminé,,
341,Tous les 2 à 3 mois,Magasin physique;Marché local,1 à 5 ans,Je les donne;Je les vends;Je les jette,Je porte presque toujours mes achats,6,Souvent,Souvent,Rarement,8,Beaucoup,7,2,2,5,Pantalon cargo;Samba,J’en ai entendu parler sans bien savoir,Oui,4,3,Abordables;Mode actuelle;Par réseaux sociaux/Publicité,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,8,4,6,8,,BTYV-6CR8,02/11/2025 11:37:48,02/11/2025 11:45:25,,"456,972854",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
342,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Jamais,Rarement,Rarement,8,Assez,6,2,1,8,Pantalon cargo;Samba,Oui,Oui,9,8,Beaucoup d’options;Par conseil d’amis/famille,16,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,9,5,4,6,,7M7H-E8T3,02/11/2025 11:24:24,02/11/2025 11:50:49,,"1584,68239",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
343,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends;Je les jette,Je porte presque toujours mes achats,8,Parfois,Parfois,Rarement,9,Beaucoup,8,1,3,9,Pantalon cargo;Samba,J’en ai entendu parler sans bien savoir,Oui,7,5,Beaucoup d’options;Abordables;Par réseaux sociaux/Publicité,15,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,7,4,6,5,,SY6E-52LL,02/11/2025 11:42:10,02/11/2025 11:53:45,,"694,653433",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
344,Tous les 4 à 6 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Jamais,Parfois,Jamais,6,Assez,5,3,1,7,Aucun,Oui,"Non, mais je connais ces plateformes",5,3,Abordables,17,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,1,3,6,,CJNF-WNQ6,02/11/2025 11:46:41,02/11/2025 11:58:42,,"720,45889",Direct,FR,Tablette,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
345,Moins d'une fois par an,Magasin physique,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,5,Jamais,Parfois,Jamais,6,Beaucoup,4,1,1,8,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",10,8,Par réseaux sociaux/Publicité,17,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,4,10,6,6,7,,LTVP-883M,02/11/2025 12:12:51,02/11/2025 12:16:58,,"247,187273",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
346,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,3,Rarement,Jamais,Jamais,10,Assez,1,1,,1,Aucun,Oui,Oui,6,6,Abordables;Facilité d’achat,58,Une femme,C'est un outil d'expression personnelle,Autre,Attachée de recherches,9,9,8,3,3,,7F59-KTUQ,02/11/2025 12:31:32,02/11/2025 12:34:49,,"196,659309",direct,FR,Smartphone,Terminé,,
347,Tous les 4 à 6 mois,Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,5,Rarement,Rarement,Jamais,9,Beaucoup,1,2,1,8,Aucun,Oui,"Non, mais je connais ces plateformes",9,10,Beaucoup d’options,38,Un homme,C'est un outil d'expression personnelle,Autre,,5,10,8,5,5,,LJ5N-HXEP,02/11/2025 13:14:48,02/11/2025 13:20:10,,"322,321673",direct,FR,Smartphone,Terminé,,
348,Au moins une fois par an,Magasin physique,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Souvent,8,Beaucoup,2,1,1,5,Aucun,Oui,"Non, mais je connais ces plateformes",8,10,Abordables,61,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Retraitée,10,10,5,8,10,,RMU2-Z43C,02/11/2025 13:39:12,02/11/2025 13:47:42,,"510,042227",direct,FR,Smartphone,Terminé,,
349,Au moins une fois par mois,Internet,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,6,Rarement,Parfois,Parfois,10,Beaucoup,1,1,1,1,Aucun,Non,Oui,6,6,Abordables;Facilité d’achat,45,Une femme,Je ne sais pas,Cadre,,8,8,2,8,10,,X265-D29U,02/11/2025 13:48:41,02/11/2025 13:53:29,,"287,670581",direct,FR,Smartphone,Terminé,,
350,Tous les 4 à 6 mois,Internet;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Parfois,Souvent,Souvent,10,Beaucoup,4,2,2,5,Pantalon cargo;Sonny Angel;Labubu,Oui,Oui,4,7,Beaucoup d’options;Abordables,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,4,8,9,5,,TYP9-R7ZR,02/11/2025 14:48:38,02/11/2025 14:54:06,,"328,641062",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
351,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,1,Rarement,Jamais,Jamais,8,Beaucoup,1,1,,7,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",8,5,Abordables,51,Une femme,Je ne sais pas,Fonctionnaire,,10,6,1,1,10,,6MCN-6GK3,02/11/2025 15:25:20,02/11/2025 15:35:50,,"629,721353",direct,FR,Smartphone,Terminé,,
352,Au moins une fois par an,Magasin physique;Internet,1 à 5 ans,Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Parfois,Jamais,Rarement,8,Assez,1,1,,7,Aucun,J’en ai entendu parler sans bien savoir,Oui,7,7,Abordables;Mode actuelle,61,Une femme,C'est un outil d'expression personnelle,Autre,En arrêt de travail,8,8,6,6,8,,Z74Q-KSPA,02/11/2025 14:13:06,02/11/2025 16:42:48,,"8981,48596",direct,FR,Smartphone,Terminé,,
353,Au moins une fois par mois,Magasin physique;Internet;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,5,Jamais,Parfois,Rarement,9,Assez,5,5,5,4,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",7,6,Beaucoup d’options;Abordables;Facilité d’achat,16,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,8,5,5,8,,MPLD-TJ4C,02/11/2025 16:36:27,02/11/2025 16:46:41,,"613,161466",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
354,Tous les 4 à 6 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Rarement,Souvent,Parfois,8,Beaucoup,5,2,5,6,Pantalon cargo;Campus,Non,Oui,6,5,Beaucoup d’options;Abordables,17,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,9,5,3,7,8,,WHU6-MG6T,02/11/2025 16:53:52,02/11/2025 16:58:39,,"286,388902",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
355,Tous les 2 à 3 mois,Magasin physique,6 mois à 1 an,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,3,Jamais,Parfois,Jamais,7,Peu,6,2,3,1,Pantalon cargo,Oui,Oui,8,5,Abordables,17,Une femme,Je ne sais pas,Étudiant(e),,8,7,4,4,9,,QKQT-7YFF,02/11/2025 17:16:32,02/11/2025 17:20:26,,"234,262942",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
356,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,1,Rarement,Souvent,Souvent,10,Beaucoup,2,2,1,7,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",9,7,Abordables;Facilité d’achat,16,Un homme,Je ne sais pas,Étudiant(e),,8,9,1,3,5,,3P3N-YWRZ,02/11/2025 17:24:11,02/11/2025 17:30:56,,"405,265114",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
357,Au moins une fois par an,Magasin physique;Internet,1 à 5 ans,Je les recycle,Je porte presque toujours mes achats,4,Jamais,Jamais,Jamais,4,Peu,1,1,,1,Aucun,Oui,"Non, mais je connais ces plateformes",5,1,Mode actuelle,60,Un homme,C'est un moyen de se conformer aux attentes sociales,Autre,,10,8,3,3,8,,FKG7-PZLG,02/11/2025 17:49:05,02/11/2025 17:54:12,,"306,987198",direct,FR,Smartphone,Terminé,,
358,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les recycle,Certains vêtements restent parfois inutilisés,4,Rarement,Rarement,Rarement,8,Beaucoup,3,7,1,8,Aucun,Oui,Oui,6,7,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,35,Un homme,C'est un moyen de se conformer aux attentes sociales,Fonctionnaire,,8,7,2,6,7,,MZG5-YEEY,02/11/2025 17:49:31,02/11/2025 17:54:32,,"301,293386",direct,FR,PC,Terminé,,
359,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,5,Jamais,Jamais,Jamais,8,Assez,5,1,,1,Tote bag,Non,Oui,7,2,Abordables;Par conseil d’amis/famille,32,Une femme,C'est un outil d'expression personnelle,Cadre,,10,10,5,5,7,,857W-UKNB,02/11/2025 18:14:48,02/11/2025 18:18:59,,"250,541672",direct,FR,Smartphone,Terminé,,
360,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main;Marché local,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,6,Rarement,Rarement,Jamais,7,Assez,7,1,2,1,Pantalon cargo;Campus,Oui,Oui,8,8,Abordables;Facilité d’achat,24,Une femme,C'est un outil d'expression personnelle,Fonctionnaire,,8,7,6,4,8,,2HE8-TPQ9,02/11/2025 18:17:58,02/11/2025 18:21:54,,"236,147815",direct,FR,Smartphone,Terminé,,
361,Tous les 2 à 3 mois,Internet;Friperie / Seconde main,6 mois à 1 an,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,9,Parfois,Souvent,Souvent,9,Beaucoup,8,1,7,7,Pantalon cargo;Campus,Oui,Oui,7,5,Abordables;Facilité d’achat;Mode actuelle,17,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,5,8,9,6,,MV5L-QTZJ,02/11/2025 18:29:38,02/11/2025 18:35:33,,"355,07991",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
362,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Jamais,Parfois,Rarement,5,Beaucoup,6,1,1,5,Pantalon cargo,Oui,Oui,9,6,Abordables;Facilité d’achat,17,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,6,8,8,5,10,,6JBU-GATY,02/11/2025 18:54:29,02/11/2025 18:59:20,,"291,050489",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
363,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les vends,Je porte presque toujours mes achats,6,Rarement,Parfois,Rarement,8,Beaucoup,3,5,1,1,Pantalon cargo,Oui,Oui,3,2,Beaucoup d’options;Abordables;Facilité d’achat;Par réseaux sociaux/Publicité,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,5,8,6,7,3,,R9CW-K9ND,02/11/2025 20:08:21,02/11/2025 20:11:51,,"210,924442",direct,FR,Smartphone,Terminé,,
364,Au moins une fois par mois,Internet,Moins de 6 mois,Je les donne;Je les garde sans les utiliser,Une grande partie de mes achats ne sont jamais portés,3,Rarement,Jamais,Rarement,6,Assez,2,10,,2,Pantalon cargo;Campus;Sonny Angel;Labubu;Tote bag;Samba,Non,Oui,1,1,Beaucoup d’options;Abordables;Facilité d’achat,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,4,10,8,4,10,,YTHU-G3MU,02/11/2025 20:41:33,02/11/2025 20:47:24,,"351,605346",direct,FR,Smartphone,Terminé,,
365,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,1,Jamais,Jamais,Jamais,1,Peu,1,1,,3,Aucun,Non,Oui,1,1,Facilité d’achat,16,Un homme,Je ne sais pas,Étudiant(e),,10,1,1,1,8,,ZM7N-A9Y5,02/11/2025 20:41:49,02/11/2025 20:47:38,,"348,626124",Direct,FR,PC,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
366,Au moins une fois par mois,Magasin physique,Plus de 5 ans,Je les vends,Une grande partie de mes achats ne sont jamais portés,6,Jamais,Parfois,Parfois,10,Beaucoup,8,1,6,6,Sonny Angel,Oui,"Non, mais je connais ces plateformes",8,8,Facilité d’achat,44,Une femme,C'est un outil d'expression personnelle,Cadre,,8,10,8,6,8,,7QMT-2JRM,02/11/2025 21:42:23,02/11/2025 21:46:02,,"218,905281",direct,FR,Smartphone,Terminé,,
367,Au moins une fois par an,Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,2,Jamais,Jamais,Jamais,10,Beaucoup,1,1,,10,Pantalon cargo;Tote bag,Oui,Oui,5,5,Abordables;Facilité d’achat;Renouvellement des collections,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,1,1,8,,HT8Q-VWGA,02/11/2025 21:47:12,02/11/2025 21:54:00,,"407,904729",Direct,FR,Tablette,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
368,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,4,Rarement,Parfois,Parfois,7,Assez,3,1,2,4,Aucun,J’en ai entendu parler sans bien savoir,Oui,4,5,Beaucoup d’options;Facilité d’achat,15,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,6,7,4,5,9,,WTP3-X2BW,02/11/2025 22:10:01,02/11/2025 22:14:41,,"280,64356",Direct,FR,Smartphone,Terminé,,c53bcf5c455f4c0bfe1c08de0fad0a22
369,Au moins une fois par an,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les recycle,Certains vêtements restent parfois inutilisés,6,Rarement,Parfois,Parfois,7,Assez,7,3,2,2,Aucun,Oui,Oui,6,7,Abordables,55,Une femme,C'est un outil d'expression personnelle,Cadre,,8,7,8,7,8,,B3Y9-5HWC,02/11/2025 22:24:32,02/11/2025 22:29:01,,"268,819267",direct,FR,Smartphone,Terminé,,
370,Au moins une fois par an,Magasin physique,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,3,Parfois,Souvent,Rarement,8,Assez,1,1,1,1,Aucun,Non,"Non, mais je connais ces plateformes",4,4,Abordables,62,Une femme,Je ne sais pas,Ouvrier / Ouvrière,,8,7,2,7,7,,JLCU-SZT5,02/11/2025 23:46:56,02/11/2025 23:53:06,,"370,485287",direct,FR,Smartphone,Terminé,,
371,Au moins une fois par mois,Internet,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Rarement,Jamais,Jamais,8,Beaucoup,5,1,,1,Pantalon cargo;Tote bag,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",8,8,Abordables,42,Une femme,C'est un outil d'expression personnelle,Fonctionnaire,,8,10,8,8,10,,4LME-GAGB,03/11/2025 07:16:30,03/11/2025 07:22:51,,"381,143298",direct,FR,Smartphone,Terminé,,
372,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Rarement,Parfois,Rarement,7,Peu,4,1,1,1,Pantalon cargo,Oui,Oui,7,7,Beaucoup d’options;Abordables;Facilité d’achat,34,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Freelance,10,8,5,8,8,,3RRH-BFFK,03/11/2025 07:28:21,03/11/2025 07:32:20,,"238,91754",direct,FR,Smartphone,Terminé,,
373,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,8,Rarement,Jamais,Jamais,8,Assez,8,5,,7,Pantalon cargo;Samba,Non,Oui,8,8,Par conseil d’amis/famille,42,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Agent de suret,8,8,9,9,9,,5PB5-QADZ,03/11/2025 07:36:08,03/11/2025 07:39:15,,"187,053166",direct,FR,Smartphone,Terminé,,
374,Au moins une fois par an,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,1,Jamais,Jamais,Jamais,8,Beaucoup,1,1,,1,Aucun,Oui,Oui,1,1,Facilité d’achat,36,Une femme,C'est un outil d'expression personnelle,Cadre,,8,7,1,1,9,,ESQ9-U5AW,03/11/2025 08:02:57,03/11/2025 08:07:47,,"290,101952",direct,FR,Smartphone,Terminé,,
375,Au moins une fois par mois,Magasin physique;Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Rarement,Parfois,Parfois,8,Beaucoup,1,1,1,4,Sonny Angel;Labubu,Oui,Oui,5,5,Abordables,44,Une femme,C'est un moyen de se conformer aux attentes sociales,Cadre,,10,10,5,6,8,,4NB6-L8SD,03/11/2025 08:15:52,03/11/2025 08:22:14,,"382,010222",direct,FR,Smartphone,Terminé,,
